Occurrence,Gamma,Tau
0.22142400622098100,-0.0001488650013539780,-0.3290054997417830
0.23568182993933300,-6.58184604622544E-05,-0.27087319388861000
0.22688509522214100,-0.00011621877612631500,-0.220508402813281
0.22061187720292700,-0.00017875823139930600,-0.27440718856624700
0.23208930022674100,-0.0001263313803412190,-0.38449994389094100
0.23874726535353900,-0.00011801401972741300,-0.26126977420054000
0.2334109867264600,-0.00015661747548436100,-0.25141744298242400
0.22113581163985800,-0.00010145834119578300,-0.2379272761030800
0.2283645806800190,-0.00012514964855853000,-0.2955067412544200
0.23069706230047900,-0.00011114658458522500,-0.34932354038098800
0.22880096945564400,-0.00017505698959057900,-0.4493396526128230
0.21979922268881300,-0.00011299830269413700,-0.31242844325879300
0.22442491776592800,-0.00012448347852513100,-0.24437920438222000
0.22729511886473600,-0.00015624868916645700,-0.24733733478598600
0.23045164815795300,-0.00013513495906521800,-0.27988956918337300
0.21106331861082100,-5.97384404172217E-05,-0.306169802409787
0.21268372347910400,-0.00013297833349446300,-0.3015961626354940
0.2117080570307280,-0.00018684518330647300,-0.3428733785616610
0.24495511255493000,-0.0001126300628490740,-0.20968455511212300
0.2209204504599780,-0.00010523179367156500,-0.23687210076687000
0.23145935192932900,-0.00016564708953886100,-0.3279571335635970
0.24779646923868600,-0.00013651764292799100,-0.2666233928350950
0.2405552910909910,-0.00015161016302154800,-0.301449558593368
0.20690344335429400,-0.0001723431999862460,-0.2093938664388990
0.23313238980029600,-0.00013205081429593300,-0.2613777727680380
0.21143796226979800,-0.00014020719864279900,-0.23908335117979600
0.2194256354973380,-9.44892927988685E-05,-0.2832317776940720
0.22344540987792400,-0.00014369347533124100,-0.26865417606928400
0.22000147369481700,-0.0002200548687274190,-0.32633082327674300
0.21338978394868900,-0.00010656746176051500,-0.29423675133041500
0.21903644287019200,-0.0001476662895601730,-0.1951705004939890
0.22993798602314700,-0.00018937749334821000,-0.38746137209979300
0.21638737250705600,-0.00014799362007756800,-0.17047554127344200
0.2232251381990030,-0.00012672484908652600,-0.3664814094761510
0.2334056827457130,-0.00010269325180129400,-0.2851162836707050
0.23103872904011400,-0.00018784494803232000,-0.39323835887054400
0.22987340495512000,-0.00017819656528019200,-0.306467636310898
0.22927676550432300,-0.00012827172453747700,-0.2867872852437320
0.2345894711479710,-0.00012729530306673100,-0.35598553207624000
0.2232285613906340,-0.00019837130035242000,-0.3179448999589950
0.2197527307573450,-0.0001583120223672490,-0.3362316867494690
0.2380672403191070,-8.33050826474107E-05,-0.19068504475288800
0.232370629459284,-0.00014781361897813200,-0.31597742596729400
0.21878968622123800,-0.00021200133262866800,-0.2998795141222840
0.22443818064819800,-0.00011030702263141900,-0.2762986787910880
0.24075001771933600,-0.00011917988783349200,-0.2445500460848390
0.2318377834934630,-0.000168297116470971,-0.25355138056538800
0.23081254136797300,-8.22814436357872E-05,-0.15642006750362800
0.24296811183647600,-0.00014512339263649100,-0.2450451892319830
0.2244913111716470,-0.00012892943393921600,-0.3364510972817490
0.2290268992924620,-0.00015260943393023000,-0.348163885091588
0.21922128421791300,-0.00017386497710191800,-0.3463313704385400
0.22444289504454700,-0.00011241015125465500,-0.24086501370935600
0.21637367405960500,-0.00021643212199666100,-0.30518403587788000
0.22394815412803200,-0.0001297746890210090,-0.37091596067479200
0.2296142648401790,-0.00010777315187557500,-0.2849059278006980
0.22122615235655100,-0.00016041995810138600,-0.35767427889914500
0.20823052963536800,-0.00019007804949586600,-0.31713946089707700
0.22413155873356900,-0.00010662671823634100,-0.2299208853234800
0.21759772473021400,-8.30267664895264E-05,-0.23152731863243800
0.2300296405365350,-0.0001841723046377640,-0.38528683764128800
0.22954524003707300,-0.00013185831786104100,-0.2973893713496830
0.23160572990150100,-0.00016540473890515100,-0.43265246515903800
0.21190896371828300,-0.00012784474020619200,-0.21371575173241300
0.24724488734065700,-0.00013411643455299400,-0.34099321467803400
0.22251652127637500,-0.000119929345347488,-0.37240486796287800
0.22328098139080500,-9.5842107994415E-05,-0.26564504379338900
0.2268860056241990,-0.00014865170745611900,-0.24734419202549300
0.22845455292318300,-0.00020432799626392300,-0.25338031759925400
0.21147057427762700,-0.00013561331417791000,-0.30566070464540900
0.22312148169556800,-0.0001740769353487750,-0.17120222709185500
0.23285165040273400,-0.00022397291666114400,-0.44797022099400800
0.2181519786985100,-9.92008555046339E-05,-0.21943302031936100
0.22652383944011200,-0.00012368320325316000,-0.3403274033727610
0.21491773257590500,-9.62535739903111E-05,-0.2570217706027210
0.2326605659269250,-0.00017633339277368000,-0.4310518800139200
0.22730979884295000,-0.00015851669661499900,-0.2802370412515280
0.22539156039238800,-0.00012031715347440400,-0.23563529062434700
0.23216775622250500,-0.00014158181689278500,-0.3835730813485790
0.221912694210899,-0.00018067543788702300,-0.30790010420487600
0.22549002308357000,-0.00013098302104275500,-0.2978508368495090
0.23717125329286800,-0.00010135713730976100,-0.2530505811464860
0.23343501180031200,-0.00014835084291533800,-0.3236224768688410
0.2202147109956420,-0.00020190105352765800,-0.29426746898337800
0.22604247197286000,-0.00014887423655508900,-0.2899115163397780
0.2332742312509350,-0.0001428993867345350,-0.27079547902441700
0.2235386296514640,-0.00014179656806595000,-0.3124738367994530
0.22594412408101800,-0.00011587968013009000,-0.24460777334922000
0.22492807286861700,-0.00017388910351017800,-0.2542621889866010
0.22093340740374100,-0.00014223249191687100,-0.3483234322277760
0.23300266695593600,-0.00013992483965896800,-0.3032943158597590
0.2135089106359340,-0.000154768188358698,-0.32821370102144000
0.22415390042309700,-0.00011946881550743000,-0.2628369186949540
0.21337912239070600,-0.00013896043669608700,-0.26021509171217200
0.23735942362491000,-0.00017606255427776300,-0.3689701134693250
0.22890292687678800,-6.29098488821027E-05,-0.14601262873534000
0.2200178296195410,-0.00016888708357477900,-0.35695993689454200
0.2135913706651330,-0.00013360729788646000,-0.3110895898741860
0.22398835716663200,-0.0001573968836314310,-0.23116730052812900
0.2198436625179450,-0.000105176845011619,-0.25699394907782600
0.22465500445143100,-0.00022015533718700700,-0.3867260765532270
0.22634088342328400,-0.00011729800541724000,-0.19187359878973400
0.23042654733955500,-0.00014189696611843000,-0.30686817536613900
0.22147925293326500,-0.00015829667072402100,-0.18380915258907100
0.2263879930203250,-0.0001916453617431300,-0.38373822483835900
0.22374672678038900,-0.0001535554469312170,-0.3371241906599830
0.2272468064199420,-0.0001116151113101460,-0.27182767155051600
0.21759931302834100,-0.00018364998933764200,-0.18727592386278400
0.21597330940082800,-0.00021622912573487300,-0.33419274038821700
0.2142322541020420,-0.00013834579598296800,-0.2981258177144550
0.2207407753077000,-0.00019126424725407500,-0.2131295761464450
