#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   Kepler g      r      i      z      DDO51_finf J      H      Ks       Mact
 1   7.51 -0.07  1.09969  0.064 3.776  4.464 10.40  0.035 0.00 15.010 14.983 15.343 14.921 14.828 14.821 15.168 13.965 13.677 13.640  1.100 
 1   7.51  0.43  1.30869  0.390 3.804  4.328  9.15  0.029 0.00 12.945 12.871 13.156 12.806 12.763 12.800 13.002 12.006 11.803 11.771  1.309 
 1   7.53 -0.07  0.54034 -1.271 3.609  4.825  7.20  0.017 0.96 14.470 14.878 16.124 14.879 14.362 14.050 16.122 12.827 12.178 12.050  0.540 
 1   7.53  0.05  1.40857  0.572 3.833  4.292 10.15  0.034 0.78 13.217 13.190 13.405 13.139 13.112 13.153 13.279 12.369 12.165 12.136  1.409 
 1   7.53  0.13  1.88055  1.096 3.925  4.263 11.15  0.037 0.00 13.180 13.256 13.152 13.250 13.403 13.548 13.133 12.943 12.934 12.916  1.881 
 1   7.53  0.41  1.12830  0.062 3.766  4.438  9.85  0.033 0.93 13.886 13.834 14.299 13.756 13.642 13.622 14.104 12.734 12.429 12.383  1.128 
 1   7.53  0.45  0.69980 -0.913 3.640  4.703  7.85  0.021 0.87 14.401 14.751 15.878 14.731 14.277 14.008 15.872 12.803 12.145 12.036  0.700 
 1   7.55  0.15  1.08022 -0.023 3.758  4.472  9.55  0.031 0.70 14.193 14.190 14.686 14.119 13.974 13.926 14.505 12.991 12.608 12.552  1.080 
 1   7.55  0.39  1.64610  0.838 3.869  4.239 10.35  0.035 0.74 12.785 12.746 12.864 12.700 12.734 12.816 12.766 12.094 11.964 11.937  1.646 
 1   7.55  0.49  0.74684 -0.795 3.654  4.668  8.80  0.027 0.00 15.556 15.777 16.784 15.708 15.366 15.176 16.768 14.029 13.422 13.327  0.747 
 1   7.57 -0.33  2.46389  1.666 4.068  4.380 10.40  0.035 0.00 11.005 11.742 11.468 11.774 12.027 12.232 11.543 11.759 11.819 11.832  2.464 
 1   7.57 -0.19  1.30561  0.473 3.836  4.372 11.75  0.038 0.00 15.337 15.341 15.494 15.298 15.296 15.353 15.388 14.603 14.437 14.414  1.306 
